"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"131","coastalTOWA","Valdez_AK","maddie_plate2_B84835",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"132","coastalTOWA","Valdez_AK","maddie_plate2_B84865",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"133","inlandTOWA","Manson_Creek","maddie_plate2_B84873",-1758275.238,7653794.905,10189724,112,171,66,60,-1,1430,689,242,-442,433,71,904,2,-114,353,118,125,513,201,266,334,106,-104,232,180,-159,253.313886901136,1629.41611785636
"134","inlandTOWA","Dease_Lake","maddie_plate2_B84879",-1917374.902,8113766.816,8317365,203,173,129,15,-4,1760,680,240,-470,380,67,449,-9,-142,251,116,117,190,170,94,462,105,-127,258,177,-185,-183.52033755746,2103.61543454636
"135","coastalTOWA","Jordan River","maddie_plate2_RE06M03",-2089922.253,6989467.891,12891873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"136","coastalTOWA","Port Alberni","maddie_plate2_RE07M01",-2068928.467,7089008.61,12484894,53,134,68,268,1,202,1274,293,-227,515,159,3054,62,-3,413,151,232,628,195,1305,366,135,-1,154,188,-25,1303.44647980862,-926.879932496598
"137","coastalTOWA","Port Alberni","maddie_plate2_RE07M02",-2069089.785,7089152.372,12484893,52,130,53,283,2,173,1343,297,-216,532,167,3211,66,2,440,154,243,542,208,1372,350,139,5,152,190,-20,1364.5861627843,-1091.71692491236
"138","coastalTOWA","Tofino","maddie_plate2_RE08M01",-2139414.51,7110512.021,12399353,41,118,14,393,15,81,1465,296,-186,612,178,4395,79,21,726,148,268,318,353,1750,204,139,23,127,196,-5,2127.83251941904,-2002.26833050431
"139","coastalTOWA","Tofino","maddie_plate2_RE08M02",-2139380.003,7110120.939,12399353,41,118,14,393,15,81,1465,296,-186,612,178,4395,79,21,726,148,268,318,353,1750,204,139,23,127,196,-5,2127.83251941904,-2002.26833050431
"140","coastalTOWA","Tofino","maddie_plate2_RE09M01",-2138758.313,7110432.532,12399354,43,114,17,373,13,71,1491,298,-180,610,184,4195,81,24,693,149,274,271,336,1672,215,140,26,125,196,-2,1958.58310215026,-1887.50920635658
"141","coastalTOWA","Pacific Spirit Park","maddie_plate2_RE15M01",-1984926.572,7048440.943,12651848,161,90,213,69,-10,53,1989,309,-172,662,219,1228,98,30,259,171,300,45,130,485,659,164,37,141,223,1,-616.310667026877,-156.792462159857
"142","inlandTOWA","Sunshine Valley","maddie_plate2_RE18M02",-1853362.69,6986435.639,12904319,103,152,188,95,-11,628,1139,261,-341,599,109,1402,44,-52,307,145,167,605,155,552,472,133,-46,197,212,-87,204.396211508563,541.268040142522
"143","inlandTOWA","Sunshine Valley","maddie_plate2_RE18M03",-1853489.317,6986192.544,12904319,103,152,188,95,-11,628,1139,261,-341,599,109,1402,44,-52,307,145,167,605,155,552,472,133,-46,197,212,-87,204.396211508563,541.268040142522
"144","inlandTOWA","Bridesville","maddie_plate2_RE19M01",-1718076.805,6922208.672,13164934,380,154,419,-18,-23,727,1301,257,-365,635,103,382,45,-66,168,156,159,131,101,107,929,146,-55,222,238,-108,-991.612306689786,1132.76429095091
"145","inlandTOWA","Bridesville","maddie_plate2_RE20M01",-1717836.806,6921814.018,13169005,386,152,427,-20,-23,697,1343,257,-363,644,105,381,47,-64,168,158,162,126,101,106,940,148,-53,222,242,-107,-1023.06691712909,1094.30463120788
"146","inlandTOWA","Bridesville","maddie_plate2_RE20M03",-1717253.506,6922748.594,13164935,371,154,411,-17,-22,736,1286,257,-366,632,103,388,44,-66,172,155,159,133,104,108,903,145,-55,221,237,-108,-963.034364911838,1145.78245903018
"147","inlandTOWA","Castelgar","maddie_plate2_RE21M01",-1599227.799,6889637.199,13299363,145,148,184,48,-11,792,1255,259,-367,591,111,970,42,-70,319,156,165,424,185,326,489,144,-60,226,230,-108,-167.548151196316,892.196812144572
"148","inlandTOWA","Nelson","maddie_plate2_RE22M01",-1576336.501,6887836.25,13307526,77,168,56,111,4,1202,715,248,-404,454,80,1409,8,-93,428,119,131,892,241,495,278,106,-85,212,179,-130,704.733389721145,1155.42919184792
"149","inlandTOWA","Cranbrook","maddie_plate2_RE24M01",-1465062.803,6856414.177,13433807,210,155,258,14,-15,954,1187,253,-397,594,98,637,34,-87,258,153,152,271,156,189,592,140,-72,240,230,-135,-465.521129826441,1223.27387494652
"150","inlandTOWA","Nakusp","maddie_plate2_RE26M02",-1561905.566,6990101.315,12888331,127,149,142,58,-8,898,1326,256,-389,619,107,1110,41,-83,393,160,161,488,246,374,407,149,-69,243,240,-127,-3.65911856553133,848.961811081576
"151","inlandTOWA","Nakusp","maddie_plate2_RE26M03",-1561746.67,6990032.291,12888331,127,149,142,58,-8,898,1326,256,-389,619,107,1110,41,-83,393,160,161,488,246,374,407,149,-69,243,240,-127,-3.65911856553133,848.961811081576
"152","inlandTOWA","Clearwater","maddie_plate2_RE28M01",-1653260.46,7179607.989,12119009,154,171,114,37,-3,1153,788,242,-408,500,71,740,14,-96,336,122,125,337,222,197,363,113,-85,218,192,-136,-21.7197056080153,1510.89030423176
"153","inlandTOWA","Clearwater","maddie_plate2_RE28M02",-1652941.168,7179248.164,12119010,159,170,127,35,-4,1124,833,244,-406,509,74,728,16,-95,331,125,129,324,219,194,378,116,-83,220,196,-135,-67.2427387367388,1477.12594186418
"154","inlandTOWA","Clearwater","maddie_plate2_RE28M03",-1652894.929,7179221.004,12119010,159,170,127,35,-4,1124,833,244,-406,509,74,728,16,-95,331,125,129,324,219,194,378,116,-83,220,196,-135,-67.2427387367388,1477.12594186418
"155","inlandTOWA","Clearwater","maddie_plate2_RE28M04",-1652697.526,7179146.598,12119010,159,170,127,35,-4,1124,833,244,-406,509,74,728,16,-95,331,125,129,324,219,194,378,116,-83,220,196,-135,-67.2427387367388,1477.12594186418
"156","inlandTOWA","Valemount","maddie_plate2_RE30M02",-1576986.912,7264880.021,11773136,56,180,0,126,20,1725,461,232,-470,350,52,1505,-16,-122,585,95,97,926,370,459,162,86,-117,217,150,-170,1062.11332207816,1568.23468722764
"157","inlandTOWA","Valemount","maddie_plate2_RE31M01",-1577276.384,7265036.297,11769065,50,182,0,123,22,1955,301,226,-481,306,44,1407,-30,-125,553,77,81,917,350,426,139,68,-123,202,126,-172,1103.72225598496,1845.41449475229
"158","inlandTOWA","Fraser Lake","maddie_plate2_RF06M01",-1887316.854,7544961.472,10633225,230,172,241,10,-9,1174,941,246,-421,526,74,521,20,-108,241,131,133,218,163,141,544,120,-91,239,203,-160,-395.47330971731,1557.94272459011
"159","inlandTOWA","Fraser Lake","maddie_plate2_RF07M01",-1889126.31,7542049.462,10641363,238,172,246,9,-9,1177,928,247,-421,521,75,500,19,-108,232,130,133,210,159,135,561,119,-91,238,201,-159,-417.421660985449,1576.08694737209
